Data,Confirmados,Recuperados,Óbitos
17/03/2020,0,,0
18/03/2020,0,,0
19/03/2020,0,,0
20/03/2020,1,,0
21/03/2020,1,,0
22/03/2020,1,,0
23/03/2020,1,,0
24/03/2020,1,,0
25/03/2020,1,,0
26/03/2020,1,,0
27/03/2020,1,,0
29/03/2020,2,,0
30/03/2020,2,,0
31/03/2020,2,,0
01/04/2020,2,,0
02/04/2020,2,,0
03/04/2020,2,,0
04/04/2020,2,,0
05/04/2020,2,,0
06/04/2020,2,,0
07/04/2020,2,,0
08/04/2020,2,,0
09/04/2020,3,,0
11/04/2020,4,,0
13/04/2020,4,,0
14/04/2020,4,,0
15/04/2020,4,,0
16/04/2020,4,,1
17/04/2020,8,2,1
18/04/2020,10,2,1
19/04/2020,10,2,1
20/04/2020,10,2,1
21/04/2020,10,2,1
22/04/2020,10,2,1
23/04/2020,12,6,2
24/04/2020,13,7,2
25/04/2020,13,7,2
27/04/2020,13,7,2
28/04/2020,15,7,2
29/04/2020,16,7,2
30/04/2020,18,10,2
01/05/2020,19,10,2
02/05/2020,22,10,2
04/05/2020,22,16,2
05/05/2020,25,17,2
06/05/2020,25,17,2
07/05/2020,26,19,2
08/05/2020,26,19,2
09/05/2020,27,21,3
10/05/2020,27,21,3
11/05/2020,27,21,3
12/05/2020,27,21,3
13/05/2020,27,21,3
14/05/2020,27,21,3
15/05/2020,28,21,3
16/05/2020,30,22,3
17/05/2020,30,22,3
18/05/2020,32,24,3
19/05/2020,34,25,3
20/05/2020,35,25,3
21/05/2020,38,27,3
22/05/2020,42,27,3
23/05/2020,42,27,3
24/05/2020,43,27,3
25/05/2020,44,28,3
26/05/2020,46,28,3
27/05/2020,65,47,3
28/05/2020,68,49,3
29/05/2020,71,53,3
30/05/2020,71,53,3
31/05/2020,71,53,3
01/06/2020,74,59,3
02/06/2020,80,59,3
03/06/2020,81,59,3
04/06/2020,83,63,3
05/06/2020,85,64,3
06/06/2020,87,64,4
07/06/2020,87,64,4
08/06/2020,89,68,4
09/06/2020,93,69,4
10/06/2020,93,69,4
11/06/2020,93,69,4
12/06/2020,95,70,4
13/06/2020,96,70,4
14/06/2020,96,70,4
15/06/2020,104,71,4
16/06/2020,105,71,4
17/06/2020,107,72,4
18/06/2020,109,78,4
19/06/2020,123,79,4
20/06/2020,123,79,4
21/06/2020,123,79,4
22/06/2020,133,85,4
23/06/2020,142,88,4
24/06/2020,151,94,5
25/06/2020,155,96,5
26/06/2020,172,99,5
27/06/2020,172,99,6
28/06/2020,172,99,6
29/06/2020,179,105,6
30/06/2020,198,114,6
01/07/2020,206,117,6
02/07/2020,225,120,6
03/07/2020,243,120,6
04/07/2020,243,120,6
05/07/2020,243,120,6
06/07/2020,250,165,7
07/07/2020,255,166,7
